transaction_reference_id,party_role,party_info_unstructured,parsed_name,parsed_address_street_name,parsed_address_street_number,parsed_address_unit,parsed_address_postal_code,parsed_address_city,parsed_address_state,parsed_address_country,party_iban,party_phone,external_id
04ff0d1c680189e3a80c92d86407f0f5,BENE,mary mith 107 107 angela brooks n. thomasfurt bulgaria,mary mith,angela brooks,107 107,,,n. thomasfurt,,bulgaria,GB49MYOB82127728573340,+1.815660-6791x8486,50039037
439ab0ad7380e6135ab2ff3fddd4a727,ORG,yesneia kim north michael 93971 koribati,yesneia kim,north michael,,,93971,koribati,,,,0 (269)620-8734x2349,60044692
00cac12d41191a84f9e31aa731a83512,ORG,w. roberson jr. 41010 rachel crossingapt. 923 thompsonshire amyport p2235417,w. roberson jr.,rachel crossingapt.,41010 923,,p2235417,thompsonshire amyport,,,GB08OTHR53515837682953,,30008244
e4fba5f878dd3453e35973605a783a16,BENE,azquez-nelson co. suarez ports suite & 024 brittanyberg bulgaria bulgaria,azquez-nelson co.,ports suite &,,,,brittanyberg,,bulgaria bulgaria,GB17VVGW66321494633280,,40017944
d03d7e4c31878b0255d39e8c3f0ab625,ORG,m.j. bytd iii 856 john lake s. glenn cocos (keeling) islands 125838276,m.j. bytd iii,john lake s. glenn,856,,125838276,cocos (keeling),islands,,,(260)3371534,40012658
948ae2b2fa0a7cafb33978779f443429,BENE,flores ltd 0169 dustin mount apt. 843 port douglas new adam libyan arab jamahiriya,flores ltd,dustin mount apt.,843,,,port douglas new adam,,libyan arab jamahiriya,GB98QFKA10998873694870,(+880) +1320410-4875,10420140
9ac9861a0d0b133ac3cb122311fe3e28,BENE,christopher guutierrez 171 glenn plaza thomasfort korea d453602,christopher guutierrez,glenn plaza,171,,d453602,thomasfort,,korea,,,40006918
0d3400eb3113eb800604c1a7a1f2a6b3,BENE,kyle clark p.o. box 650 1876 illiajs plain suite 880 jamesmouth blackland 24073 france,kyle clark,illiajs plain suite,1876 880,,24073,jamesmouth blackland,,france,GB32CEZH43283581987924,"0 522271,.0649x.8382",25021900
811c8949aa11f7bcd19f139e9f7d58ae,BENE,phillips incorporated 201 donna union suite 252,phillips incorporated,donna union suite,201 252,,,,,,,240-6293662,25021951
4181e1fcc4d4b029134f7b38ace018c2,BENE,"guerrero, fisher and durham 8206 jill ridge","guerrero, fisher and durham",,,,8206,jill ridge,,,,0505-337-4623,10273918
cf49e7b1d82830689ca52246aa1f174d,ORG,w. roberson jr. 41010 rachel crossing apt. 923 thompsonshire amyport . amyport,w. roberson jr.,rachel crossing apt.,41010 923,,,thompsonshire amyport . amyport,,,,(0063)422.366..7898,30008244
a6111c0badc1e995099989f09aa5b1fc,ORG,mrs. michael aguilar 358 erin valleys whiteland18484 japan +1-695-2772,mrs. michael aguilar,erin valleys,358,,,whiteland18484,,japan,,,60040104
f8c457f37202a9ba242dcf85870d010b,BENE,adam galloway 543 joseph extensions apt. 248kin gmouth s. samuel 65699 nauru,adam galloway,joseph extensions apt. 248kin gmouth,543,,65699,s. samuel nauru,,,,,25019589
28d2c440ee6f96026a7477721e741b2e,BENE,m. stevenson 463 jacobs ports apt. 722 eas stacey lesotho v4361,m. stevenson,jacobs ports apt.,463,,v4361,eas stacey,lesotho,,GB27WLLL75651978828090,0  929564858418595,35007399
294a33a511a90c1ccbf8b419ea4d3d2c,BENE,dr. sonya sonya riley 113513231 32756 nicole nicole canyonwuite 163 mooreside 84139 saint barthelemy,dr. sonya sonya riley,nicole nicole canyonwuite,113513231 32756 163,,84139,mooreside saint barthelemy,,,GB49UBHI42180310936229,,25014926
20b2f1a5aed58087b45ebce7e1e5679b,ORG,kennedy plc 81540 tonya circle north james 13052 guam,kennedy plc,tonya circle north james,,,81540 13052,guam,,,GB54QIAX99296611071776,,30004073
efb3b9ca0b845ac83c9194e364374a95,ORG,gray-mahoney mejiaport w. danielview saint lucia 957994286,gray-mahoney,w. danielview,,,957994286,saint lucia,,,GB84DCPA95230922332253,"0041460_-5104508x13,066",25027190
589d7dc22b1767fb7b9c64efce8773e5,BENE,david york 82786 washington station suite 526 dawnfort east kimberlymouth 74850,david york,washington station suite,82786 526,,74850,dawnfort east kimberlymouth,,,GB83GZTU62178798010901,"647926-968,3707",25001816
49003388b2dda0cd742dde5c431694c8,ORG,raymond johns 814 clarke plains samuelville averyfort 30074 paraguay,raymond johns,clarke plains samuelville,814,,30074,averyfort,,paraguay,GB59AUMV66557114959752,+41 6766279493x981,35007342
aeb314e12ac14e81deddfdfd0bf16d30,BENE,thomas-baker 81588 shepherd corners thompsonhaven 46995 palau,thomas-baker,shepherd corners,81588,,46995,thompsonhaven,,palau,,0795.645.2682x7.811,10138630
dcdd2621ce3a82c32be18e2c399a6677,ORG,jesus dixon myerstown harmonchester czech republic 03/23/1954,jesus dixon,myerstown,,,,harmonchester,,czech republic,GB38SGBR44789163947704,+86575-664-8872 x641,40019758
d8106811a76708a64c4e3b407c902f5b,ORG,arroyo-jensen arroyo-jensen 50278 james streets apt. 418 jacksonhaven jacksonhaven lake isaacport 52869 belarus,arroyo-jensen arroyo-jensen,james streets jacksonhaven,50278,,52869,jacksonhaven lake isaacport,,belarus,,,25001725
5bb66d92ff4b4924661fea5414bd7139,ORG,derek nguyen 8751 white spring apt. 612 new mark lake angela spain,derek nguyen,white spring,8751,,,new mark lake angela,,spain,GB08FHAO44301819991952,0041 (814 )764-1441x 0962,25007013
45251daf042d249790cbdee0282a4774,BENE,"fisher, parks and meyer 666 kirk shores matthewview croatia","fisher, parks and meyer",kirk shores,666,,,matthewview,,croatia,GB16WSJJ75253607484590,0041 001-300484-0 18-9581,10223824
3250179c99c8ad63770ace6482c7d18a,ORG,hess-hall dominguez difid suite 964 e. andrewport 18808 guadelouupe,hess-hall,suite e. andrewport,964,,18808,guadelouupe,,,GB64ZECU04614716178057,+41-780399.6925,25011379
d63a593c0c45e50d69b6913e1680adbc,BENE,m. osborne +1-700-5216 3135 suzanne dr. apt. 566 michaelberg 76337 thailand,m. osborne,+1-700-5216 suzanne dr. apt.,3135 566,,76337,michaelberg,,thailand,,362485.059565590,35010849
144273aaab8af88ab1039ec3a85938e9,BENE,evans group 678 colon pass suite 431 north kelsey 73417 north macedonia,evans group,colon pass suite kelsey,678 431,,73417,north north macedonia,,,GB08KIEW60942368465921,,10558848
d289478d9f46ef4d4ab7819c7a0c8437,BENE,brdley davis burundi 10453elizabeth union apt. 007 south lisachester 90092 18124507,brdley davis,union apt.,10453elizabeth,,18124507,south lisachester,,,GB16RJCT15656703937287,"+41 001364-7,114907 x6596",60023402
22965865377960f0bb4dd214d9672f12,ORG,mrs. michae lhayes 09760 meghan harbor suite 255 06860 lao people's democratic republic,mrs. michae lhayes,meghan harbor suite,255,,06860,,,lao people's democratic republic,,"001-619-325-32,46",25006185
59335022e4585b7ef80d411fbc268762,ORG,nicholson-mora 9372 william shores s. davidmouth 86814 kiribti d176967,nicholson-mora,william shores s. davidmouth,9372,,86814 d176967,kiribti,,,GB40UUJD01770637886856,0041001584- 717-279705499,60015395
e0a29823b96383a2a505cbbaae870e2f,ORG,mrs. alejandra clark helena 840 sarah ford ford apt. 092 mariaview 05495 saint,mrs. alejandra clark,sarah ford ford,840,,05495,mariaview saint,,,GB71XHAL85128325099398,0 +1477-3217405x2530,25020982
940b4c7baab63cd68ac8dbbc612e0cce,BENE,haarrks-bauer 13915 macdonald ridge suite 885 south leahside 82586 serbia,haarrks-bauer,macdonald ridge suite,13915 885,,82586,south leahside,,serbia,GB53IEZI32289080573934,,20015841
88201a62c5cd1aa586f4b2501b45321d,ORG,"davsi dzvsi , inc 07/03/2001 west julie thompsonberg 28260 mongolia","davsi dzvsi , inc",west julie,,,28260,thompsonberg,,mongolia,,,30001583
fbc431424dbc70dbeda4886be6681ac0,ORG,woodard-gomez corporation algeria 2582 king brook suite 687 timothytown 91789 q4981,woodard-gomez corporation,king brook suite,2582 687,,91789 q4981,timothytown,,,,,35024438
4e999b6291359ca2e33ff89510c7023b,BENE,m.j.e. carroll 36894 natasha crossing garyside 42145 oman,m.j.e. carroll,natasha crossing,36894,,42145,garyside,,oman,GB10CIBH50387263425247,,35008448
4ed7a0cbd0a3e34550459aac170e92fd,BENE,"long-beltran group 69853 douglas pike , port gloria 98524 san marino",long-beltran group,"douglas pike , port gloria",69853,,98524,san marino,,,GB61GSOS36704526618852,0041 6533432321,35021635
67e60fe33ba1b847c84551c46274df5a,BENE,c. johnson 3783 white green suite 426 south brittanyburgh netherlands antilles +1-629-1345,c. johnson,white green suite,3783 426,,,south brittanyburgh,netherlands antilles,,,,35013529
29447f00bc81b10acfa44cb441a9aac1,ORG,melanie jordan 802 grymes vviews new amyborough 56905 romania p3042907,melanie jordan,grymes vviews,802,,56905 p3042907,new amyborough,,romania,,"+41+128 46595642,23579",70053618
022495bbec267a237c44aa42b16ba752,BENE,richard hammond 554 adams road patrickview saint kitts and nevis,richard hammond,adams road,554,,,patrickview saint,kitts and nevis,,GB03PJQT49228912869027,_-+4 1+1-641-381-0267x1553,80030363
4485aee015773ca9eb1f342a3bb47863,ORG,angela guerraro 06411 regina groves suite east derric k jamaica +1-470-6926,angela guerraro,regina groves suite east derric,,,,k,jamaica,,GB75ZKDF77721326113788,,25004753
ac2d553472549ba5eb7885e381bfc87b,ORG,"gonzalez, simmons and hall group 260 hodges burg south adam davidside 47034 antarctica (the territory south of 60 deg s)","gonzalez, simmons and hall group",hodges burg south adam davidside,260,,47034,territory south of 60 s),(the,antarctica deg,GB59JHYB63199039960074,,35024639
09dfa2ee0b9b17bbe3c7255c974e9159,BENE,kenneth jr. +1-988-6111 74529 brown lodge apt. 301 n. bra ndon 10904,kenneth jr.,brown lodge,+1-988-6111,,74529 10904,bra ndon,,,,+41+18863942737724,70007664
0a0a66e8ecd956a5ac6087be78cc20bc,BENE,lee-franklin 95464 reed square suite 581 drakeland 86773 martinique,lee-franklin,reed square suite,95464 581,,86773,drakeland martinique,,,GB49XGAV02410938865198,-0 001-242-725-3750x4352,10579992
4b79271b0dd2130e766543bbf0b401b5,BENE,"wright, price and malona 0637 jacqueline estate 68158 guatemala","wright, price and malona",jacqueline estate,,,68158,guatemala,,,GB58ZMMT80975450126672,(0041) 0013679014002x0231,40002486
350953659f88aca9e1e32171ce130dcb,BENE,mr. steven diaz ii 9320 mitchell haven south nicholas carterstad 63974 samoa,mr. steven diaz ii,mitchell haven south nicholas,9320,,63974,carterstad,,samoa,GB03IEZO36893141603931,(0041) 908-333-3807x5124,20016111
5b47af180ea0dcd1620f1cba14a793e3,BENE,"morgan, gonzales and perez 3743 romero brooks west laurenfurt 61405 kazakhstan","morgan, gonzales and perez",romero brooks,3743,,61405,west laurenfurt,,kazakhstan,GB66AQNL80962920969032,0041(263)_63.6162095057,10564644
5e27a433a20b7239cf3ada3dc34995cf,BENE,hemilton stacey guiana 848 navarro islands s. matthew french,hemilton stacey,guiana,848,,,navarro islands s. matthew,,french,GB33GKES86362624099102,001+12158914659x96501,25024311
f08606556d0490bf7a99f9772d425d61,ORG,mr. heather pennington ii 28616 hampton mews apt. 179 68580 timor-leste 04/11/1973,mr. heather pennington ii,hampton mews apt.,28616 179,,68580,timor-leste,,,GB25NOHT91394822221533,0 (620)427--7752,90019212
79a0d3c232ef9e25f99eda9aa697fe77,ORG,watts-taylor 414 schmidt causeway south laura mozambique,watts-taylor,schmidt causeway,414,,,south laura,,mozambique,GB96UHIG50259967296857,,10517596
021c7c4b79e356aaa0dc14548142d199,ORG,randy hicks 2370 kihg common claytonbury jamaica +1-781-5994,randy hicks,kihg common,2370,,,claytonbury,jamaica,,,,25001406
200d597a0c96fdb505bb720063ba1abf,BENE,travis scott 8426 bradley ways south judithstad 96436 lithuania,travis scott,bradley ways,8426,,96436,south judithstad,,lithuania,,,20015151
0862985178e583c30f9b4e2a3f10aed7,ORG,christensen and sons 50980 thomas points apt. 305 lake clayton 49614 moldova,christensen and sons,thomas points apt. 305,50980,,49614,lake clayton,,moldova,,(+41)001473-748-5213x02249,10055170
5a42fabd4a934f5b2270c882974646b1,BENE,stephen edwards 01827 rush missiion apt. 328 south cynthiaside jacksonview 46358 reunion 58181252,stephen edwards,rush missiion apt. 328 south cynthiaside jacksonview,,,46358 58181252,reunion,,,GB34MDUH28918737630862,"(+41)+162,1-566,12476.955",35008915
f86f109eae3c50c73025e1cd73bb624e,BENE,goodwin llc 280 fitzgerald trail apt. 020 santosland canada,goodwin llc,fitzgerald trail,280,,,santosland,,canada,GB75PIZW80192044391342,,25008153
7e7a56a8aa1e3c7c4b7ef889ecd754a4,BENE,ford-guteerrez richardmouth angola,ford-guteerrez,,,,,richardmouth,,angola,GB03GQHW41461055588257,,25033941
d378b67827962f169a0f1a062d08cd58,ORG,smith-williams 5422 brenda isle suite 565 littlefort west kathleenchester 23146 french guiana,smith-williams,brenda isle suite,5422 565,,23146,littlefort west kathleenchester,,french guiana,,,25016357
5196400a4e1ddfd9b1ff9a661f94a102,BENE,daniel hamilton 2887 thomas circles goodmanshire 27104 reunion,daniel hamilton,thomas circles goodmanshire,2887,,27104,reunion,,,GB85OILD04542315581199,00410.0155_8808-6727x061,25006634
c11c3fab87c2b647d96f85f0e550a705,ORG,garcia plc 892 hampton dale suite 426 south stephaniechester,garcia plc,hampton dale suite,892 426,,,south stephaniechester,,,,,10312060
