transaction_reference_id,party_role,parsed_name,parsed_address_street_name,parsed_address_street_number,parsed_address_postal_code,parsed_address_city,party_iban,party_phone,external_id,account_id,transaction_amount,transaction_currency,transaction_date
04ff0d1c680189e3a80c92d86407f0f5,BENE,MR M0,ANL PRKS,107 107,,n. thomasfurt,GB49MYOB82127728573340,+1.815660-6791x8486,50039037,22308,2645.64,GBP,2024-11-04
439ab0ad7380e6135ab2ff3fddd4a727,ORG,ASN KM,NRR MKL,,93971,koribati,,0 (269)620-8734x2349,60044692,23693,9907.74,GBP,2023-09-16
00cac12d41191a84f9e31aa731a83512,ORG, RPRSN JRR,RKSL KRSNKPT,41010 923,p2235417,thompsonshire amyport,GB08OTHR53515837682953,,30008244,23688,1222.27,GBP,2024-07-17
e4fba5f878dd3453e35973605a783a16,BENE,ASKSSNLSN K,PRTS ST,,,brittanyberg,GB17VVGW66321494633280,,40017944,22253,2080.02,GBP,2023-11-24
d03d7e4c31878b0255d39e8c3f0ab625,ORG,MMJJ PT A,JN LK S KLN,856,125838276,cocos (keeling),,(260)3371534,40012658,23633,8936.32,GBP,2022-12-05
948ae2b2fa0a7cafb33978779f443429,BENE,FLRS LT,TSTN MNT APT,843,,port douglas new adam,GB98QFKA10998873694870,(+880) +1320410-4875,10420140,21522,7525.26,GBP,2023-06-25
9ac9861a0d0b133ac3cb122311fe3e28,BENE,KRSTFR KTRS,KLN PLS,171,d453602,thomasfort,,,40006918,24388,4951.69,GBP,2024-08-13
0d3400eb3113eb800604c1a7a1f2a6b3,BENE,KL KLRK,ALS PLN ST,1876 880,24073,jamesmouth blackland,GB32CEZH43283581987924,"0 522271,.0649x.8382",25021900,23297,5479.5,GBP,2024-09-18
811c8949aa11f7bcd19f139e9f7d58ae,BENE,FLPS ANKRPRTT,TN AN ST,201 252,,,,240-6293662,25021951,22433,6541.51,GBP,2024-08-25
4181e1fcc4d4b029134f7b38ace018c2,BENE,KRR FXR ANT TRM,,,8206,jill ridge,,0505-337-4623,10273918,20784,1009.4,GBP,2024-02-19
cf49e7b1d82830689ca52246aa1f174d,ORG, RPRSN JRR,RKSL KRSNK APT,41010 923,,thompsonshire amyport . amyport,,(0063)422.366..7898,30008244,26942,7578.8,GBP,2024-07-23
a6111c0badc1e995099989f09aa5b1fc,ORG,MKL AKLR,ARN FLS,358,,whiteland18484,,,60040104,22377,2994.6,GBP,2023-07-18
f8c457f37202a9ba242dcf85870d010b,BENE,ATM KL,JSF AKSTNSNS APT N KMM,543,65699,s. samuel nauru,,,25019589,27584,9932.4,GBP,2023-01-04
28d2c440ee6f96026a7477721e741b2e,BENE,MM STFNSN,JKPS PRTS APT,463,v4361,eas stacey,GB27WLLL75651978828090,0  929564858418595,35007399,25615,1801.18,GBP,2023-03-30
294a33a511a90c1ccbf8b419ea4d3d2c,BENE,SN RL,NKL NKL NT,113513231 32756 163,84139,mooreside saint barthelemy,GB49UBHI42180310936229,,25014926,24557,1906.17,GBP,2024-04-01
20b2f1a5aed58087b45ebce7e1e5679b,ORG,KNT PLK,TN SRKL NRR JMS,,81540 13052,guam,GB54QIAX99296611071776,,30004073,22729,7408.21,GBP,2024-06-09
efb3b9ca0b845ac83c9194e364374a95,ORG,KRMHN,TNLF,,957994286,saint lucia,GB84DCPA95230922332253,"0041460_-5104508x13,066",25027190,26486,5225.77,GBP,2024-07-26
589d7dc22b1767fb7b9c64efce8773e5,BENE,TFT ARK,AKSNKTN STKSN ST,82786 526,74850,dawnfort east kimberlymouth,GB83GZTU62178798010901,"647926-968,3707",25001816,24394,2521.24,GBP,2022-12-26
49003388b2dda0cd742dde5c431694c8,ORG,RMNT JNS,KLRK PLNS SMLFL,814,30074,averyfort,GB59AUMV66557114959752,+41 6766279493x981,35007342,23929,9099.16,GBP,2023-04-04
aeb314e12ac14e81deddfdfd0bf16d30,BENE,TMSSPKR,SFRT KRNRS,81588,46995,thompsonhaven,,0795.645.2682x7.811,10138630,29295,6581.88,GBP,2024-07-25
dcdd2621ce3a82c32be18e2c399a6677,ORG,JSS TKSN,MRSTN,,,harmonchester,GB38SGBR44789163947704,+86575-664-8872 x641,40019758,29957,8786.2,GBP,2023-03-08
d8106811a76708a64c4e3b407c902f5b,ORG,ARJNSN,JMS STRTS JKSNFN,50278,52869,jacksonhaven lake isaacport,,,25001725,26779,6615.0,GBP,2023-08-13
5bb66d92ff4b4924661fea5414bd7139,ORG,TRK NKN,AT SPRNK,8751,,new mark lake angela,GB08FHAO44301819991952,0041 (814 )764-1441x 0962,25007013,21486,6339.8,GBP,2024-04-19
45251daf042d249790cbdee0282a4774,BENE,FXRR PRKS ANT MR,KRK SRS,666,,matthewview,GB16WSJJ75253607484590,0041 001-300484-0 18-9581,10223824,29497,7635.96,GBP,2024-06-15
3250179c99c8ad63770ace6482c7d18a,ORG,HSSL,ST A ANTRPRT,964,18808,guadelouupe,GB64ZECU04614716178057,+41-780399.6925,25011379,22969,9018.81,GBP,2023-03-07
d63a593c0c45e50d69b6913e1680adbc,BENE,MM ASPRN,SN TR APT,3135 566,76337,michaelberg,,362485.059565590,35010849,28807,6952.87,GBP,2024-01-19
144273aaab8af88ab1039ec3a85938e9,BENE,AFNS KRP,KLN S ST KLS,678 431,73417,north north macedonia,GB08KIEW60942368465921,,10558848,21033,421.42,GBP,2024-05-12
d289478d9f46ef4d4ab7819c7a0c8437,BENE,PRTL TFS,AN APT,10453elizabeth,18124507,south lisachester,GB16RJCT15656703937287,"+41 001364-7,114907 x6596",60023402,25510,3276.15,GBP,2024-03-06
22965865377960f0bb4dd214d9672f12,ORG,MK LS,MN RPR ST,255,06860,,,"001-619-325-32,46",25006185,22640,7192.46,GBP,2023-08-09
59335022e4585b7ef80d411fbc268762,ORG,NXLSNNMR,ALM SRS S TFTMM,9372,86814 d176967,kiribti,GB40UUJD01770637886856,0041001584- 717-279705499,60015395,26444,998.42,GBP,2023-08-09
e0a29823b96383a2a505cbbaae870e2f,ORG,ALJNTR KLRK,SR FRT FRT,840,05495,mariaview saint,GB71XHAL85128325099398,0 +1477-3217405x2530,25020982,28131,2553.44,GBP,2023-03-27
940b4c7baab63cd68ac8dbbc612e0cce,BENE,HRKSSPR,MKTNLT RJ ST,13915 885,82586,south leahside,GB53IEZI32289080573934,,20015841,20692,6214.11,GBP,2023-07-07
88201a62c5cd1aa586f4b2501b45321d,ORG,TFS TSFS  ANK,AST JL,,28260,thompsonberg,,,30001583,29544,1544.46,GBP,2022-12-23
fbc431424dbc70dbeda4886be6681ac0,ORG,ATRTTKMS KRPRXN,NK PRK ST,2582 687,91789 q4981,timothytown,,,35024438,23493,2254.0,GBP,2023-11-07
4e999b6291359ca2e33ff89510c7023b,BENE,MMJJ KRL,NTKS KRSNK,36894,42145,garyside,GB10CIBH50387263425247,,35008448,26022,7398.01,GBP,2024-02-27
4ed7a0cbd0a3e34550459aac170e92fd,BENE,LNKKPLTRN KRP,TKLS PK PRT KLR,69853,98524,san marino,GB61GSOS36704526618852,0041 6533432321,35021635,22663,4733.02,GBP,2023-03-02
67e60fe33ba1b847c84551c46274df5a,BENE,KK JNSN,AT KRN ST,3783 426,,south brittanyburgh,,,35013529,27566,2246.65,GBP,2023-08-15
29447f00bc81b10acfa44cb441a9aac1,ORG,MLN JRTN,KRMS FS,802,56905 p3042907,new amyborough,,"+41+128 46595642,23579",70053618,26791,8105.17,GBP,2024-08-31
022495bbec267a237c44aa42b16ba752,BENE,RXRT HMNT,ATMS RT,554,,patrickview saint,GB03PJQT49228912869027,_-+4 1+1-641-381-0267x1553,80030363,27771,959.36,GBP,2024-01-11
4485aee015773ca9eb1f342a3bb47863,ORG,ANJL KRR,RN KRFS ST AST TRK,,,k,GB75ZKDF77721326113788,,25004753,28461,3588.0,GBP,2023-03-04
ac2d553472549ba5eb7885e381bfc87b,ORG,KNSLSS SMNS ANT HL KRP,S PRK SS ATM TFTST,260,47034,territory south of 60 s),GB59JHYB63199039960074,,35024639,20995,9639.65,GBP,2024-08-18
09dfa2ee0b9b17bbe3c7255c974e9159,BENE,KN0 JRR,PRN LJ,+1-988-6111,74529 10904,bra ndon,,+41+18863942737724,70007664,27165,3015.85,GBP,2024-06-09
0a0a66e8ecd956a5ac6087be78cc20bc,BENE,LFRNKLN,RT SKR ST,95464 581,86773,drakeland martinique,GB49XGAV02410938865198,-0 001-242-725-3750x4352,10579992,24871,5827.61,GBP,2024-09-07
4b79271b0dd2130e766543bbf0b401b5,BENE,RTT PRS ANT MLN,JKLN AST,,68158,guatemala,GB58ZMMT80975450126672,(0041) 0013679014002x0231,40002486,23336,1388.68,GBP,2024-09-03
350953659f88aca9e1e32171ce130dcb,BENE,STFN TS A,MKSL FN SS NKSLS,9320,63974,carterstad,GB03IEZO36893141603931,(0041) 908-333-3807x5124,20016111,24879,8745.97,GBP,2023-03-18
5b47af180ea0dcd1620f1cba14a793e3,BENE,MRKNN KNSLS ANT PRS,RMR PRKS,3743,61405,west laurenfurt,GB66AQNL80962920969032,0041(263)_63.6162095057,10564644,24093,9336.71,GBP,2023-12-19
5e27a433a20b7239cf3ada3dc34995cf,BENE,HMLTN STS,N,848,,navarro islands s. matthew,GB33GKES86362624099102,001+12158914659x96501,25024311,21585,2437.57,GBP,2024-08-24
f08606556d0490bf7a99f9772d425d61,ORG,H0R PNNKTN A,MPTN MS APT,28616 179,68580,timor-leste,GB25NOHT91394822221533,0 (620)427--7752,90019212,26164,944.47,GBP,2024-02-21
79a0d3c232ef9e25f99eda9aa697fe77,ORG,ATSSTLR,SMT KS,414,,south laura,GB96UHIG50259967296857,,10517596,27776,3735.73,GBP,2024-04-12
021c7c4b79e356aaa0dc14548142d199,ORG,RNT HKS,K KMN,2370,,claytonbury,,,25001406,20034,2083.66,GBP,2024-07-18
200d597a0c96fdb505bb720063ba1abf,BENE,TRFS SKT,PRTL AS,8426,96436,south judithstad,,,20015151,27288,9117.3,GBP,2023-03-05
0862985178e583c30f9b4e2a3f10aed7,ORG,KRSTNSN ANT SNS,TMS NTS APT,50980,49614,lake clayton,,(+41)001473-748-5213x02249,10055170,25289,3761.1,GBP,2023-05-14
5a42fabd4a934f5b2270c882974646b1,BENE,STFN ATRTS,RKS MSN APT SS SNNST JKSNF,,46358 58181252,reunion,GB34MDUH28918737630862,"(+41)+162,1-566,12476.955",35008915,24792,9412.63,GBP,2023-11-08
f86f109eae3c50c73025e1cd73bb624e,BENE,KTN LK,FTSKRLT TRL,280,,santosland,GB75PIZW80192044391342,,25008153,21565,7043.86,GBP,2023-12-20
7e7a56a8aa1e3c7c4b7ef889ecd754a4,BENE,FRTTKTRS,,,,richardmouth,GB03GQHW41461055588257,,25033941,28498,2543.93,GBP,2023-09-25
d378b67827962f169a0f1a062d08cd58,ORG,SM00LMS,PRNT AL ST,5422 565,23146,littlefort west kathleenchester,,,25016357,24298,530.63,GBP,2024-04-12
5196400a4e1ddfd9b1ff9a661f94a102,BENE,TNL HMLTN,TMS SRKLS KTMNKSR,2887,27104,reunion,GB85OILD04542315581199,00410.0155_8808-6727x061,25006634,28697,1955.37,GBP,2024-10-27
c11c3fab87c2b647d96f85f0e550a705,ORG,KRS PLK,MPTN TL ST,892 426,,south stephaniechester,,,10312060,23421,815.52,GBP,2024-07-27
78127ef4e3286a449a84166e56294ec9,BENE,LNS PRN,NKSN PLN,5604,,merrittshire,GB53HSYE66487777115880,"0258.939.6718x468,62",25024786,27654,2145.14,GBP,2023-02-22
f76d4778b7625a65cdc768ee9eacc77f,BENE,ARS ANT SN,NTRS FLTS,18608,,ericville oldova,GB65DUXW46553301836728,(+41)(381)9278842,90002615,23365,3362.09,GBP,2023-06-11
df2a5cc326df0f258e503c99f1b1a708,BENE,JJ ANK,TRS MNTNS,888,,port angela westton,,(+63)728.591.631626377,35020119,25130,9898.36,GBP,2023-09-20
817e2bbe69e9cf968416ad94543475ea,BENE,KRSSKN,TFT KRSNT,76686,64638,jamesburgh,GB64XSQP49519898043507,,35004268,24829,7222.61,GBP,2023-08-31
60306a7d1f57e1319f91ef5c8c0e4018,ORG,MM ALKSNTR,SS TLR,,11890,,GB46XLYO80145584267161,(918 )4119277,35030689,26146,3507.26,GBP,2023-03-08
66e7dab15f591313bc05456c53ba5bfe,ORG,KL RT ANT PRTR,AML PS APT,971,05234,jacksonton s. nicholasmouth,,0 +1-8 50 -2045251,20007982,27150,5831.52,GBP,2023-07-12
9f9e30c6eccf7cb2c578286f66f93d01,ORG,PKRR KPR ANT KRPNTR KRP,,+1-440-9785,35940 59881,victoria lights,GB04RYOT90873038447648,024_6.9109577x526,10479419,24745,7494.26,GBP,2023-03-09
3be9f34d6f3024b3fe4ff4e9760002cc,ORG,JSS RMRS A,LR AST APT,15550,28182,perezmouth east michael,,,35010738,26094,9585.13,GBP,2023-04-06
0b9346ad55c57ec6cf5df465d74f9434,BENE,XRLS SM0,JN KTS APT,2706 607,80457,lake fobertshire,GB57PHEO66403172600928,+41576-3356402 x693,20022797,21068,8876.73,GBP,2024-01-28
52c09897267ab1d6847de5f7cff8fe65,BENE,SM00 AFR NT TFS KRPRXN,NT TFS KRPRKSN,,,luisshire tokelau,GB73ADRX05282210164044,,10360379,28333,9271.96,GBP,2023-01-04
bfd3f7dc90e8032fe672df5b66b05df4,BENE,RS ANK,MRK FRK ST,551 549,76763 p1267334,rodriguezchester,,,40018260,26690,9446.74,GBP,2023-07-25
d580d3ed128d47cb0e9aac30a3d57b85,ORG,XRLS HKNS,NN TRS RSNST,8041,72705 p5173059,matthewport,,,35017388,20526,2528.51,GBP,2023-10-08
192fda60045407c4409373d9999f10ff,BENE,ANTRS MXL JRR,KFN MSN AST AST,441,,lisa agmbia,GB84OKEY87687777432415,,40010026,24512,4716.78,GBP,2023-06-18
7a31c7e726b1e95e42f777c2aa53ec05,BENE,RPNSNNJMS,AST TRS,,30978,,,(0041) 597-859 -1310,10114198,27817,3073.27,GBP,2023-07-31
